field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
name_of_adoptee,Name of Adoptee,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location,Location,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no_2,Docket No_2,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
1_birth_name,1 Birth name,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2_name_after_adoption_if_different,2 Name after adoption if different,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
3_birthdate,3 Birthdate,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
4_tribal_affiliation_name_of_tribe,4 Tribal affiliation name of tribe,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_biological_parent_name,1 Biological parent name,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address,Address,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2_biological_parent_name,2 Biological parent name,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_2,Address_2,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_name,1 Name,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_3,Address_3,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2_name,2 Name,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_4,Address_4,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name,Name,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_5,Address_5,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone,Telephone,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
signature_of_petitioner,Signature of Petitioner,W019,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
text2,Text2,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text1,Text1,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_3,Date_3,W022,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
name_1,Name 1,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_6,Address_6,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_2,Name 2,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
phone_number,Phone Number,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
email,Email,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
