field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,W001,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W002,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
location,Location,W003,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no_2,Docket No_2,W004,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
in_re,IN RE,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
childs_name,Childs Name,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box3,Check Box3,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff,Plaintiff,W008,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,Defendant,W009,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
i,I,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
parental_rights_and_responsibilities,Parental Rights and Responsibilities,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
divorce,Divorce,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
adoption,Adoption,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
paternity,Paternity,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
protective_custody,Protective Custody,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardianship,Guardianship,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
juvenile,Juvenile,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other,Other,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
a_hearing_in_this_case_is_scheduled_for_mmddyyyy,A hearing in this case is scheduled for mmddyyyy,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
at,at,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
am,am,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pm,pm,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name,Name,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
applicable,applicable,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
physical_address,Physical Address,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_mmddyyyy,Date of Birth mmddyyyy,W027,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
name_2,Name_2,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
applicable_2,applicable_2,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
physical_address_2,Physical Address_2,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_mmddyyyy_2,Date of Birth mmddyyyy_2,W031,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
