field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
check_box9,Check Box9,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box10,Check Box10,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location,Location,W003,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W004,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
text1,Text1,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text2,Text2,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box8,Check Box8,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text3,Text3,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text4,Text4,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text7,Text7,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text5,Text5,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
city_state_zip,City State Zip,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text6,Text6,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
phone_number,Phone number,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
