field_id,label,type,page,rect
defendant,Defendant,text,0,"33.1,105.7,239.0,120.2"
superior_court,Superior Court,checkbox,0,"355.7,61.8,368.8,74.9"
district_court,District Court,checkbox,0,"455.4,61.8,468.5,74.9"
unified_criminal_docket,Unified Criminal Docket,checkbox,0,"355.7,76.4,368.8,89.5"
county,County,text,0,"400.6,90.5,581.0,105.0"
location_town,Location Town,text,0,"441.0,105.7,581.0,120.2"
docket_no,Docket No,text,0,"418.7,120.8,581.0,135.4"
bail_poster,Bail poster,text,0,"44.8,189.8,254.8,204.3"
deposit_with_the_clerk_of_this_court_in_the_sum_of,deposit with the Clerk of this Court in the sum of,text,0,"282.7,204.4,377.7,218.0"
date_mmddyyyy,Date mmddyyyy,text,0,"138.6,264.4,251.3,278.9"
undefined,undefined,text,0,"323.2,264.4,579.7,278.9"
