field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
to_phase_3,to Phase 3,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_5,undefined_5,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_6,undefined_6,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_7,undefined_7,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_8,undefined_8,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_9,undefined_9,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_10,undefined_10,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_11,undefined_11,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_12,undefined_12,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_13,undefined_13,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
printed_name,Printed Name,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_admission,Date of Admission,W016,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
granted,granted,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
denied_effective,denied effective,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
eff_date,eff date,W019,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
identified_skillstools_learned,Identified SkillsTools Learned,W020,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
in_treatmentdrug_courtself,in TreatmentDrug CourtSelf,W021,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
identified_goals_for_phase_3,Identified Goals for Phase 3,W022,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
identified_financial,Identified Financial,W023,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
identified_causes_for_dl,Identified Causes for DL,W024,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
