field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
first,First,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
middle,Middle,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
last,Last,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
street_or_po_box_number,Street or PO Box Number,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
city_or_town,City or Town,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
state,State,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
zip,ZIP,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
town,Town,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,County,W009,text,text,case_constant,county,0,0,green,Y,,,case_dict,
month,Month,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
day,Day,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
year,Year,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
ft_in,Ft In,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
lbs,Lbs,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
color,Color,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
color_2,Color_2,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W017,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
