field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
superior_court,Superior Court,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
unified_criminal_docket,Unified Criminal Docket,W004,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
county,County,W005,text,text,case_constant,county,0,0,green,Y,,,case_dict,
defendant,Defendant,W006,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
text1,Text1,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other_party_if_any,Other Party if any,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
docket_no,Docket No,W009,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
the_clerk_will_please_enter_my_appearance_as_counsel_for,The Clerk will please enter my appearance as counsel for,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff,plaintiff,W011,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,defendant,W012,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other_party_print,other party print,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
partys_name,partys name,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_clerk_will_please_enter_my_appearance_as_a_selfrepresented,The Clerk will please enter my appearance as a selfrepresented,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff_2,plaintiff_2,W016,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant_2,defendant_2,W017,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other_party,other party,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
print_your_name,print your name,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W020,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name,Name,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
bar_number,Bar Number,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_1,Address 1,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_2,Address 2,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_3,Address 3,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone,Telephone,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
email,Email,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
