field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiffs,Plaintiffs,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superiorcourt,SuperiorCourt,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
unifiedcriminaldocket,UnifiedCriminalDocket,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,County,W006,text,text,case_constant,county,0,0,green,Y,,,case_dict,
courtlocationtown,CourtLocationTown,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
docket_no,Docket No,W008,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
defendants,Defendants,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
mysocial_securityaccountnumberis,MySocial Securityaccountnumberis,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W014,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined_5,undefined_5,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff,Plaintiff,W016,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,Defendant,W017,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
childs_namerow1,Childs NameRow1,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
socialsecuritynumberrow1,SocialSecurityNumberRow1,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
childs_namerow2,Childs NameRow2,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
socialsecuritynumberrow2,SocialSecurityNumberRow2,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
childs_namerow3,Childs NameRow3,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
socialsecuritynumberrow3,SocialSecurityNumberRow3,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
childs_namerow4,Childs NameRow4,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
socialsecuritynumberrow4,SocialSecurityNumberRow4,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
childs_namerow5,Childs NameRow5,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
socialsecuritynumberrow5,SocialSecurityNumberRow5,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
childs_namerow6,Childs NameRow6,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
socialsecuritynumberrow6,SocialSecurityNumberRow6,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
a_protectivecustodycaseiscurrentlypending_thecourtdocketnumber,A ProtectiveCustodycaseiscurrentlypending TheCourtDocketNumber,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2,2,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
