field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
case_name_short_title,Case Name short title,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
docket_no,Docket No,W002,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
complaint,Complaint,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
indictment,Indictment,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
information,Information,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
answer,Answer,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
motion,Motion,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other,Other,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text1,Text1,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reference_1,REFERENCE 1,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
full_name,Full Name,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
dob_mmddyyyy,DOB mmddyyyy,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
drivers_license_number,Drivers License Number,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
financial_account_numbers_1,Financial Account Numbers 1,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
financial_account_numbers_2,Financial Account Numbers 2,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
phone_number,Phone Number,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
email_address,Email Address,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
residential_address_1,Residential Address 1,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
residential_address_2,Residential Address 2,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
mailing_add_1,Mailing Add 1,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
mailing_add_2,Mailing Add 2,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reference_2,REFERENCE 2,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
full_name_2,Full Name_2,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
dob_mmddyyyy_2,DOB mmddyyyy_2,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
drivers_license_number_2,Drivers License Number_2,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
financial_account_numbers_1_2,Financial Account Numbers 1_2,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
financial_account_numbers_2_2,Financial Account Numbers 2_2,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
phone_number_2,Phone Number_2,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
email_address_2,Email Address_2,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
residential_address_1_2,Residential Address 1_2,W033,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
residential_address_2_2,Residential Address 2_2,W034,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_2,1_2,W035,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2_2,2_2,W036,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reference_3,REFERENCE 3,W037,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
full_name_3,Full Name_3,W038,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
dob_mmddyyyy_3,DOB mmddyyyy_3,W039,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
drivers_license_number_3,Drivers License Number_3,W040,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
financial_account_numbers_1_3,Financial Account Numbers 1_3,W041,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
financial_account_numbers_2_3,Financial Account Numbers 2_3,W042,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W043,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
phone_number_3,Phone Number_3,W044,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
email_address_3,Email Address_3,W045,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
residential_address_1_3,Residential Address 1_3,W046,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
residential_address_2_3,Residential Address 2_3,W047,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_3,1_3,W048,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2_3,2_3,W049,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
