field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
superior_court,Superior Court,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
unified_criminal_docket,Unified Criminal Docket,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
county,County,W004,text,text,case_constant,county,0,0,green,Y,,,case_dict,
v,V,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W007,text,text,case_constant,county,0,0,green,Y,,,case_dict,
v_dup1,V,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_defendant_in_the_abovecaptioned_matter_who_is_subject_to,the defendant in the abovecaptioned matter who is subject to,W009,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
date_mmddyyyy,Date mmddyyyy,W010,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
to_a_correctional_facility_this_transfer_will_occur_as_soon_as_practicable_upon_termination,to a correctional facility this transfer will occur as soon as practicable upon termination,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
department_of_health_and_human_services,Department of Health and Human Services,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
v_dup2,V,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_defendant_in_the_abovecaptioned_matter_who_is_subject_to_dup1,the defendant in the abovecaptioned matter who is subject to,W014,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
