field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
superior_court,Superior Court,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,County,W004,text,text,case_constant,county,0,0,green,Y,,,case_dict,
defendant,Defendant,W005,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
location_town,Location Town,W006,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W007,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
mediation_conducted_pursuant_to_14_mrs_6321a_did_not_result_in_the_settlement_or_dismissal,Mediation conducted pursuant to 14 MRS  6321A did not result in the settlement or dismissal,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_defendant_has_not_filed_an_answer_to_the_complaint_as_provided_by_the_maine_rules_of_civil,The Defendant has not filed an answer to the complaint as provided by the Maine Rules of Civil,W009,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
date_mmddyyyy,Date mmddyyyy,W010,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
print_name,Print Name,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
