field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
check_box1,Check Box1,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiffpetitioner,PlaintiffPetitioner,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendantrespondent,DefendantRespondent,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other_party,Other Party,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superior_court,Superior Court,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
unified_criminal_docket,Unified Criminal Docket,W007,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
county,County,W008,text,text,case_constant,county,0,0,green,Y,,,case_dict,
location_town,Location Town,W009,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W010,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
in_re,IN RE,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
transcript_and_audio_order_form,TRANSCRIPT AND AUDIO ORDER FORM,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiffstate_attorney_at_hearing,PlaintiffState Attorney at hearing,W013,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
defendant_attorney_at_hearing,Defendant Attorney at hearing,W014,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
gal_at_hearing,GAL at hearing,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
others_present_at_hearing,Others present at hearing,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
appeal,Appeal,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
law_court,Law Court,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superior_court_2,Superior Court_2,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
sentence_review_panel,Sentence Review Panel,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
postconviction_review,PostConviction Review,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reference,Reference,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
personal_reference,Personal Reference,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
for_use_in_another_pending_cases_docket_no,For use in another pending cases Docket No,W024,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
text7,Text7,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box3,Check Box3,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box5,Check Box5,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
if_yes_date_due_mmddyyyy,If Yes Date due mmddyyyy,W028,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
paper_transcript_required_for_appeals_unless_otherwise_ordered_by_the_court_m_r_app_p_5,Paper Transcript Required for appeals unless otherwise ordered by the court M R App P 5,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
mp3_audio_recording_50_via_email_or_cd_with_additional_500_to_mail,MP3 Audio Recording 50 via email or CD with additional 500 to mail,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
private_pay_and_state_agency_office_of_the_attorney_general_district_attorney_etc,Private Pay and State Agency Office of the Attorney General District Attorney etc,W031,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
mcpds_must_also_file_form_cvcr166_motion_for_transcript_at_state_expense,MCPDS Must also file form CVCR166 Motion for Transcript at State Expense,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
