field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
check_box1,Check Box1,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiffpetitioner,PlaintiffPetitioner,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendantrespondent,DefendantRespondent,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other_party,Other party,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_re,IN RE,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superior_court,Superior Court,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,County,W009,text,text,case_constant,county,0,0,green,Y,,,case_dict,
location_town,Location Town,W010,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W011,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
child_protection_please_indicate_the_legal_stage_to_which_this_motion_applies,Child Protection Please indicate the legal stage to which this motion applies,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
summary_preliminary_hearing,Summary Preliminary Hearing,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
cease_reunification_hearing,Cease Reunification Hearing,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
jeopardy_hearing_with_or_without_jr_andor_pp,Jeopardy Hearing with or without JR andor PP,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
contested_perm_guardianship_hearing,Contested Perm Guardianship Hearing,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
judicial_rev_andor_perm_planning_hearing,Judicial Rev andor Perm Planning Hearing,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
contested_child_placement_hearing,Contested Child Placement Hearing,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
termination_of_parental_rights_hearing,Termination of Parental Rights Hearing,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
dismissal_of_child_protection_action,Dismissal of Child Protection Action,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
release_of_a_gal_from_an_order_of_appointment,Release of a GAL from an Order of Appointment,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
law_court_appeal,Law Court Appeal,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
family_matter,Family matter,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardianship_of_a_minor,Guardianship of a Minor,W024,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
adoption,Adoption,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
termination_of_parental_rights_title_19a,Termination of Parental Rights Title 19A,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
juvenile_matter,Juvenile Matter,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardian_for_minor_or_incompetent_person_mr_civ_p_17b,Guardian for Minor or Incompetent Person MR Civ P 17b,W028,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
child_protection_cases,Child protection cases,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
hours_during_this_legal_stage_of_the_proceeding_or,hours during this legal stage of the proceeding or,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
all_other_cases,All other cases,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
hours_on_the_case,hours on the case,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
