field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
check_box4,Check Box4,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
v,v,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,DISTRICT COURT,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_re,IN RE,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
type_of_case_you_must_choose_one,TYPE OF CASE you must choose ONE,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
docket_number,DOCKET NUMBER,W007,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
title_18c_matter_eg_guardianship_of_a_minor_or_adoption,Title 18C matter eg guardianship of a minor or adoption,W008,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
title_19a_termination_of_parental_rights_case_petitioner_only,Title 19A termination of parental rights case petitioner only,W009,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
civil_commitment_case,Civil commitment case,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
extreme_risk_protection_order_case,Extreme risk protection order case,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text4,Text4,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_01_increments_you_must_attach_itemization_of_time,In 01 increments You must attach itemization of time,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyyrow1,Date mmddyyyyRow1,W014,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
origin_addressrow1,Origin AddressRow1,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
destination_addressrow1,Destination AddressRow1,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
total_milesrow1,Total MilesRow1,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
applicable_raterow1,Applicable RateRow1,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
trip_costrow1,Trip CostRow1,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
purpose_of_travelrow1,Purpose of TravelRow1,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyyrow2,Date mmddyyyyRow2,W021,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
origin_addressrow2,Origin AddressRow2,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
destination_addressrow2,Destination AddressRow2,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
total_milesrow2,Total MilesRow2,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
applicable_raterow2,Applicable RateRow2,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
trip_costrow2,Trip CostRow2,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
purpose_of_travelrow2,Purpose of TravelRow2,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyyrow3,Date mmddyyyyRow3,W028,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
origin_addressrow3,Origin AddressRow3,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
destination_addressrow3,Destination AddressRow3,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
total_milesrow3,Total MilesRow3,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
applicable_raterow3,Applicable RateRow3,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
trip_costrow3,Trip CostRow3,W033,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
purpose_of_travelrow3,Purpose of TravelRow3,W034,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyyrow4,Date mmddyyyyRow4,W035,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
origin_addressrow4,Origin AddressRow4,W036,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
destination_addressrow4,Destination AddressRow4,W037,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
total_milesrow4,Total MilesRow4,W038,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
applicable_raterow4,Applicable RateRow4,W039,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
trip_costrow4,Trip CostRow4,W040,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
purpose_of_travelrow4,Purpose of TravelRow4,W041,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text1,Text1,W042,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text2,Text2,W043,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text3,Text3,W044,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text7,Text7,W045,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_of_attorney_print,Name of attorney print,W046,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
telephone_number_1,Telephone number 1,W047,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone_number_2,Telephone number 2,W048,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box5,Check Box5,W049,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box6,Check Box6,W050,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_submitted_mmddyyyy,Date submitted mmddyyyy,W051,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
check_payable_to,Check payable to,W052,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_1,Address 1,W053,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_2,Address 2,W054,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
vendor_code,Vendor code,W055,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
