field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
ss,ss,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location,Location,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
docket_no_2,Docket No_2,W004,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
undefined,undefined,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
action_1,action 1,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
action_2,action 2,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
action_4,action 4,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
checkbox1,Checkbox1,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
checkbox2,Checkbox2,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
original_loan_amount,Original Loan Amount,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
original_amortization_term,Original Amortization Term,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
original_interest_rate,Original Interest Rate,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
checkbox3,Checkbox3,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
checkbox4,Checkbox4,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
current_unpaid_balance,Current Unpaid Balance,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
current_interest_rate,Current Interest Rate,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
remaining_mortgage_term,Remaining Mortgage Term,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
months_past_due,Months Past Due,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
advances_escrow_past_due,Advances/Escrow Past Due,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
current_mortgage_payment,Current Mortgage Payment,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
current_interest_payment,Current Interest Payment,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
current_principal_payment,Current Principal Payment,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
past_due_interest,Past Due Interest,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
current_escrow_payments,Current Escrow Payments,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
taxes,Taxes,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
insurance,Insurance,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pmi,PMI,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
current_fmv,Current FMV,W030,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
home_price_appreciation_forecast,Home Price Appreciation Forecast,W031,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reo_stigma_discount,REO stigma discount,W032,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
projected_months_to_foreclosure_sale,Projected Months to Foreclosure Sale,W033,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
projected_months_to_reo_sale,Projected Months to REO Sale,W034,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
projected_foreclosure_reo_disposition_costs,Projected Foreclosure & REO Disposition Costs,W035,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
future_interest_advanced_escrow,Future Interest & Advanced Escrow,W036,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
cure_rate,Cure Rate,W037,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
projected_redefault_rate,Projected Redefault Rate,W038,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
projected_months_to_redefault,Projected Months to Redefault,W039,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
projected_home_price_appreciation,Projected Home Price Appreciation,W040,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
checkbox5,Checkbox5,W041,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
checkbox6,Checkbox6,W042,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
checkbox7,Checkbox7,W043,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
copies_cannot_be_produced_because,Copies cannot be produced because,W044,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
3_1,3 1,W045,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
3_2,3 2,W046,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
for_mediation_purposes_please_identify_the_investor_on_this_loan,For mediation purposes please identify the investor on this loan,W047,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
d,D,W048,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
dated,Dated,W049,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
printed_name,Printed Name,W050,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
name_title_and_telephone_number_of_person_who_prepared_this_form_1,Name title and telephone number of person who prepared this form 1,W051,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
name_title_and_telephone_number_of_person_who_prepared_this_form_2,Name title and telephone number of person who prepared this form 2,W052,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
name_title_and_telephone_number_of_person_who_prepared_this_form_3,Name title and telephone number of person who prepared this form 3,W053,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
text1,Text1,W054,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
