field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
v,V,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superior_court,Superior Court,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,County,W005,text,text,case_constant,county,0,0,green,Y,,,case_dict,
undefined,undefined,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W007,text,text,case_constant,county,0,0,green,Y,,,case_dict,
name_current_address_telephone_number_and_other_contact_information_for_the_homeowner_1,Name current address telephone number and other contact information for the homeowner 1,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_current_address_telephone_number_and_other_contact_information_for_the_homeowner_2,Name current address telephone number and other contact information for the homeowner 2,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_current_address_telephone_number_and_other_contact_information_for_the_homeowner_3,Name current address telephone number and other contact information for the homeowner 3,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box2,Check Box2,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box3,Check Box3,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
has_the_homeowner_moved_out_of_the_property_under_foreclosure,Has the homeowner moved out of the property under foreclosure,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
this_homeowners_gross_monthly_income_from_all_sources_as_a_preliminary_estimate_for_mediation,This homeowners gross monthly income from all sources as a preliminary estimate for mediation,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
retain_the_home,Retain the home,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
sell_or_deed_over_to_bank,Sell or deed over to bank,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W017,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text1,Text1,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_title_and_telephone_number_of_person_who_prepared_this_form_1,Name title and telephone number of person who prepared this form 1,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_title_and_telephone_number_of_person_who_prepared_this_form_2,Name title and telephone number of person who prepared this form 2,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
