field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
superior_court,Superior Court,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,County,W004,text,text,case_constant,county,0,0,green,Y,,,case_dict,
defendant,Defendant,W005,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
location_town,Location Town,W006,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W007,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
1_i_have_good_cause_to_waive_mediation_1,1 I have good cause to waive mediation 1,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_i_have_good_cause_to_waive_mediation_2,1 I have good cause to waive mediation 2,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_i_have_good_cause_to_waive_mediation_3,1 I have good cause to waive mediation 3,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_i_have_good_cause_to_waive_mediation_4,1 I have good cause to waive mediation 4,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W012,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
print_name,Print Name,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
