field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
locationtown,LocationTown,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
docketno,DocketNo,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendant,Defendant,W004,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
plaintiff_2,Plaintiff_2,W005,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendanthigherofline_7aand7b,Defendanthigherofline 7aand7b,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
higher_of_line_8a_and_8b,higher of line 8a and 8b,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_9c,line 9c,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_9c_dup1,line 9c,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
lower_of_line_8a_and_8b,lower of line 8a and 8b,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_16,line 16,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
higher_of_line_8a_and_8b_dup1,higher of line 8a and 8b,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_16_dup1,line 16,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_18,line 18,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_17,line 17,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
15,15,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_16_dup2,line 16,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_17_dup1,line 17,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_18_dup1,line 18,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
19,19,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
20,20,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
weekly_amounthealthinsurance_enteramountfrom_line10,Weekly AmountHealthInsurance enteramountfrom line10,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
parentpayinghealthinsurance_enteramountfrom_line10,ParentPayingHealthInsurance enteramountfrom line10,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fill_32,fill_32,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fill_33,fill_33,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
weekly_amountchildcare_enteramountfrom_line_11,Weekly AmountChildCare enteramountfrom line 11,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
parentpayingchildcare_enteramountfrom_line_11,ParentPayingChildCare enteramountfrom line 11,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fill_34,fill_34,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fill_35,fill_35,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
weekly_amountextraordinarymedicalexpenses_enteramountfrom_line_12,Weekly AmountExtraordinaryMedicalExpenses enteramountfrom line 12,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
parentpayingextraordinarymedicalexpenses_enteramountfrom_line_12,ParentPayingExtraordinaryMedicalExpenses enteramountfrom line 12,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fill_36,fill_36,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fill_37,fill_37,W033,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fill_38,fill_38,W034,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fill_39,fill_39,W035,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
21,21,W036,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
22,22,W037,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
