field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
check_box16,Check Box16,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff,Plaintiff,W002,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,Defendant,W003,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other_party,Other Party,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
or,OR,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_re,IN RE,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W007,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W008,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
name,Name,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_mmddyyyy,Date of birth mmddyyyy,W010,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
mailing_address,Mailing Address,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
residential_address,Residential Address,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone_number,Telephone number,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
single,single,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
married,married,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
divorced,divorced,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
separated,separated,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
widowed,widowed,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
alone,alone,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
with_spouse,with spouse,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
with_partner,with partner,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
with_parent,with parent,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
with_friend,with friend,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
homeless,homeless,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employer_name,Employer name,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_1,Address 1,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_2,Address 2,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone_number_2,Telephone number_2,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
b_length_of_time_employed,b Length of time employed,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
full_time,Full time,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
part_time,Part time,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
seasonal,Seasonal,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
c_if_not_currently_employed_when_and_where_were_you_last_employed_1,c If not currently employed when and where were you last employed 1,W033,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
c_if_not_currently_employed_when_and_where_were_you_last_employed_2,c If not currently employed when and where were you last employed 2,W034,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box11,Check Box11,W035,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
