field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
district_court,DISTRICT COURT,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
docket_no_2,Docket No_2,W002,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
minor_name,Minor name,W003,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
interim,Interim,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
final,Final,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
amended,Amended,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
corrected,Corrected,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
without_opposition_or_hearing,Without opposition or hearing,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
after_hearing_with_all_parties_present_or,After hearing with all parties present or,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
after_hearing_where_the_following_party_was_not_present_and_was_defaulted,After hearing where the following party was not present and was defaulted,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardian,guardian,W011,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
parent,parent,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
case_management_order,Case Management Order,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
interim_hearing,Interim Hearing,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardianship_order,Guardianship Order,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
amended_2,Amended_2,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other,other,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
this_child_support_order_is_made_a_part_of_the,This Child Support Order is made a part of the,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
of_this_date,of this date,W019,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
dated,dated,W020,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
and_include_imputed_income_to_the,and include imputed income to the,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardian_2,guardian_2,W023,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
parent_2,parent_2,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
and_incorporated,and incorporated,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
is_ordered_to_pay_to,is ordered to pay to,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_of_obligor_parent,Name of Obligor PARENT,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
childs_name_1,Childs Name 1,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_1,Date of Birth 1,W029,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
childs_name_1_2,Childs Name 1_2,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_1_2,Date of Birth 1_2,W031,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
childs_name_2,Childs Name 2,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_2,Date of Birth 2,W033,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
childs_name_2_2,Childs Name 2_2,W034,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_2_2,Date of Birth 2_2,W035,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
childs_name_3,Childs Name 3,W036,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_3,Date of Birth 3,W037,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
childs_name_3_2,Childs Name 3_2,W038,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_3_2,Date of Birth 3_2,W039,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
if_a_child_receives_public_assistance_the_child_support,If a child receives public assistance the child support,W040,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
5_the_court_finds_that_the_children_currently_receives_dependent_benefits_as_a_result_of_the_obligors_disability_in_any_month,5 The Court finds that the children currently receives dependent benefits as a result of the obligors disability  In any month,W041,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
6_the_child_support_obligations_shall_remain_in_effect_until,6 The child support obligations shall remain in effect until,W042,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
not_be_given_credit_toward_past_or_future_obligations_for_benefits_which_exceed_the_current_monthly_support_obligation,not be given credit toward past or future obligations for benefits which exceed the current monthly support obligation,W043,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
7_the_child_support_obligations_shall_continue_for_each_child_until_that_child_reaches_the_age_of_18_provided_however_that_if_the,7 The child support obligations shall continue for each child until that child reaches the age of 18 provided however that if the,W044,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
8_beginning,8 Beginning,W045,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
modify_child_support,modify child support,W046,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
when,when,W047,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reaches_the_age_of_12_years_old_and,reaches the age of 12 years old and,W048,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
is_no_longer_eligible_for_child_care_expenses_the_child_support_obligation_will_be_changed_to,is no longer eligible for child care expenses the child support obligation will be changed to,W049,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
when_2,when_2,W050,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reaches_the_age_of_12_years_old_and_is_no,reaches the age of 12 years old and is no,W051,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
9_as_long_as_there_are,9 As long as there are,W052,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W053,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W054,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
children_entitled_to_parental_support_the_obligor_shall_pay_the_sum_of,children entitled to parental support the obligor shall pay the sum of,W055,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
weekbiweekly_as_long_as_there_are,weekbiweekly As long as there are,W056,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
children_entitled_to_parental_support_the_obligor_shall_pay_the_sum_of_2,children entitled to parental support the obligor shall pay the sum of_2,W057,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
per_weekbiweekly_when,per weekbiweekly When,W058,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
10_the_amounts_set_forth_above_for_child_support_constitutes_a_deviation_from_the_presumptive_amount_required_by_the_child,10 The amounts set forth above for child support constitutes a deviation from the presumptive amount required by the child,W059,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
support_guidelines_in_this_case_the_court_finds_that_a_child_support_order_based_on_the_guidelines_would_be_inequitable_or_unjust_for_the,support guidelines In this case the court finds that a child support order based on the guidelines would be inequitable or unjust for the,W060,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
following_reasons_set_forth_the_reasons_for_the_deviation_1,following reasons Set forth the reasons for the deviation 1,W061,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
11,11,W062,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
obligee,Obligee,W063,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
obligor,Obligor,W064,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
either_party_the_party_who_can_obtain_health_insurance_first_at_reasonable_cost_shall_obtain_and,Either party the party who can obtain health insurance FIRST at reasonable cost shall obtain and,W065,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
12_any_uninsured_medical_expenses_of_the_children_in_excess_of_250_per_calendar_year_shall_be_paid_in_the_following_manner,12 Any uninsured medical expenses of the children in excess of 250 per calendar year shall be paid in the following manner,W066,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
by_the_obligor_and,by the obligor and,W067,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
by_the_obligee_the_first_250_of_annual_uninsured_medical_expenses_shall_be_paid_by,by the obligee The first 250 of annual uninsured medical expenses shall be paid by,W068,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
13_the_child_support_obligation_is_based_on_the_fact_that_the_parents_are_providing_substantially_equal_care_for_their_children,13 The child support obligation is based on the fact that the parents are providing substantially equal care for their children,W069,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
to_be_paid_by_the_higher_income_parent_and,to be paid by the higher income parent and,W070,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
to_be_paid_by,to be paid by,W071,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
the_lower_income_parent_1,the lower income parent 1,W072,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
not_subject_to_immediate_income_withholding_as_of_this_date_see_notice_belowif_not_see_15_below,not subject to Immediate Income Withholding as of this date See Notice belowIf not see 15 below,W073,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
15_other,15 Other,W074,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W075,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
1,1,W076,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
immediate_income_withholding_order_attached_and_incorporated_herein,Immediate Income Withholding Order attached and incorporated herein,W077,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
date,Date,W078,text,text,narrative_derived,date,2,5,green,,Y,,llm_over_narrative,
fvi,FVI,W079,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
