field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
v,V,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W003,text,text,case_constant,county,0,0,green,Y,,,case_dict,
at_any_time_required_by_court,at any time required by court,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_mmddyyyy,on mmddyyyy,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
juvenile_is_released_pending_further_court_proceedings_on_the_condition_that_the_juvenile,juvenile is released pending further court proceedings on the condition that the juvenile,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
appear_in_court,Appear in court,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
am,am,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pm_and_commit_no_illegal_act_whatsoever_including_but_not_limited_to_the_use_or,pm and commit no illegal act whatsoever including but not limited to the use or,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reside_with_parentsguardianlegal_custodian_and_abide_by_all_rules_of_that_residence,Reside with parentsguardianlegal custodian and abide by all rules of that residence,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reside_with,Reside with,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
at,at,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
and_abide_by,and abide by,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
child_support_order_attached,Child support order attached,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
abide_by_curfew,Abide by curfew,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
everyday,Everyday,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
weekdays_from,Weekdays from,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pm_until,pm until,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
am_2,am_2,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fridays_and_saturdays_from,Fridays and Saturdays from,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pm_until_2,pm until_2,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
accompanied_by_a_parent_or_other_legallyappointed_supervisor,accompanied by a parent or other legallyappointed supervisor,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
attending_a_school_function,attending a school function,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
at_employment_or_in_transit_to_or_from_employment,at employment or in transit to or from employment,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
or_as_set_or_modified_by_the_juveniles_jcco,Or as set or modified by the juveniles JCCO,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
house_arrest_may_not_be_away_from_home_without_parentsguardianlegal_custodian_or,House Arrest May not be away from home without parentsguardianlegal custodian or,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
except,except,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
to_go_directly_to_and_from_school,to go directly to and from school,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
to_go_directly_to_and_from_employment,to go directly to and from employment,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
24hour_adult_supervision_both_in_and_outside_of_the_home_by,24hour adult supervision both in and outside of the home by,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1,1,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other,Other,W033,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2,2,W034,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
attend_school_regularly_or_pursue_school_or_alternative_education_enrollment_and_attend_school_program,Attend school regularly or pursue school or alternative education enrollment and attend school program,W035,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maintain_regular_employment_or_regularly_pursue_employment,Maintain regular employment or regularly pursue employment,W036,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
submit_to_any_request_for_any_personal_search_or_test_for_possession_or_use_of_drugs_or_alcohol,Submit to any request for any personal search or test for possession or use of drugs or alcohol,W037,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
have_no_contact_of_any_kind_with,Have no contact of any kind with,W038,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W039,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
1_2,1_2,W040,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
except_incidental_contact_at,except incidental contact at,W041,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
school,school,W042,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
work,work,W043,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
other_as_may_be_necessary_to,other as may be necessary to,W044,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W045,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
2_2,2_2,W046,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
when_available_participate_in_regular,When available participate in regular,W047,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
medical_treatment,medical treatment,W048,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
counseling_with,counseling with,W049,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
undefined_5,undefined_5,W050,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
text1,Text1,W051,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
outpatient,outpatient,W052,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
inpatient_at,inpatient at,W053,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
and_take_all_prescribed_medication,and take all prescribed medication,W054,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
do_not_use_or_possess_any_dangerous_weapons_or_firearms,Do not use or possess any dangerous weapons or firearms,W055,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
