field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
juvenile,Juvenile,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
juveniles_name,Juveniles Name,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_mmddyyyy,Date of Birth mmddyyyy,W005,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
total_number_of_hours_needed,Total number of hours needed,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
required_date_of_completion_mmddyyyy,Required date of completion mmddyyyy,W007,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
organization_name,Organization name,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_1,Address 1,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_2,Address 2,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone_number,Telephone number,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
supervisors_name,Supervisors name,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone_number_2,Telephone number_2,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_service_mmddyyyy,Date of service mmddyyyy,W014,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
hours_completed,Hours Completed,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_service_mmddyyyy_2,Date of service mmddyyyy_2,W016,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
hours_completed_2,Hours Completed_2,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_service_mmddyyyy_3,Date of service mmddyyyy_3,W018,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
hours_completed_3,Hours Completed_3,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_service_mmddyyyy_4,Date of service mmddyyyy_4,W020,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
hours_completed_4,Hours Completed_4,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_service_mmddyyyy_5,Date of service mmddyyyy_5,W022,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
hours_completed_5,Hours Completed_5,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
highly_satisfactory,Highly Satisfactory,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
satisfactory,Satisfactory,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
unsatisfactory,Unsatisfactory,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
comments_1,Comments 1,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
comments_2,Comments 2,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
comments_3,Comments 3,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W030,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
printed_name,Printed Name,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
