field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
name,Name,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
date_of_birth_mmddyyyy,Date of Birth mmddyyyy,W004,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
court_ori,Court ORI,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
ari_no,ARI No,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
gender,GENDER,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
gender_dup1,GENDER,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_mmddyyyy,On mmddyyyy,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
initial_weapons_restriction_order_that_was_entered_on_mmddyyyy,initial weapons restriction order that was entered on mmddyyyy,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
purchasing_owning_possessing_or_controlling_any_dangerous_weapons_including_firearms_or,Purchasing owning possessing or controlling any dangerous weapons including firearms or,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
length_of_weapons_restriction_order,length of weapons restriction order,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
possessing_or_controlling_any_dangerous_weapons_including_firearms_or_attempting_to_possess,Possessing or controlling any dangerous weapons including firearms or attempting to possess,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
from_the_date_of_the_order_34b_mrs_3873a7a,from the date of the order 34B MRS  3873A7A,W014,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_1,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 1,W015,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_2,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 2,W016,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_3,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 3,W017,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_4,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 4,W018,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_5,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 5,W019,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_6,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 6,W020,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_7,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 7,W021,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_8,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 8,W022,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
petitioner_now_wishes_to_dissolve_the_weapons_restriction_order_that_was_issued_for_the_following_reasons_9,Petitioner now wishes to dissolve the Weapons Restriction Order that was issued for the following reasons 9,W023,text,text,party_attr,petitioner,0,0,green,Y,,,case_dict,
maine_judicial_branch_1,MAINE JUDICIAL BRANCH 1,W024,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_2,MAINE JUDICIAL BRANCH 2,W025,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_3,MAINE JUDICIAL BRANCH 3,W026,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_4,MAINE JUDICIAL BRANCH 4,W027,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_5,MAINE JUDICIAL BRANCH 5,W028,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_6,MAINE JUDICIAL BRANCH 6,W029,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_7,MAINE JUDICIAL BRANCH 7,W030,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_8,MAINE JUDICIAL BRANCH 8,W031,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_9,MAINE JUDICIAL BRANCH 9,W032,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_10,MAINE JUDICIAL BRANCH 10,W033,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_11,MAINE JUDICIAL BRANCH 11,W034,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_12,MAINE JUDICIAL BRANCH 12,W035,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W036,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
text1,Text1,W037,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
