field_id,label,type,page,rect
judgment_creditor,Judgment Creditor,text,0,"31.1,47.0,216.1,60.7"
judgment_debtor,Judgment Debtor,text,0,"30.4,92.5,216.1,106.2"
location_town,Location Town,text,0,"445.6,62.2,581.0,75.8"
docket_no,Docket No,text,0,"414.1,77.4,581.0,91.1"
my_name_is,My name is,text,0,"94.9,157.0,324.0,170.6"
i_am_employed_by,I am employed by,text,0,"419.4,157.0,576.1,170.6"
the_following_constitutes_a_complete_listing_of_the_amounts_earned_by_the_judgment_debtor_and_the,The following constitutes a complete listing of the amounts earned by the judgment debtor and the,text,0,"36.0,171.7,144.1,185.3"
in_the_capacity_of,in the capacity of,text,0,"233.0,171.7,572.6,185.3"
weekly,weekly,checkbox,0,"221.5,227.0,234.6,240.1"
biweekly,biweekly,checkbox,0,"288.7,227.0,301.8,240.1"
monthly,monthly,checkbox,0,"360.7,227.0,373.8,240.1"
1,1,text,0,"481.3,225.4,576.1,239.0"
undefined,undefined,text,0,"332.3,283.9,431.7,297.6"
undefined_2,undefined_2,text,0,"330.1,298.6,432.1,312.2"
undefined_3,undefined_3,text,0,"332.8,313.2,432.1,326.9"
undefined_4,undefined_4,text,0,"332.8,327.8,432.1,341.5"
undefined_5,undefined_5,text,0,"332.8,342.5,432.1,356.2"
undefined_6,undefined_6,text,0,"332.8,357.1,432.1,370.8"
2,2,text,0,"481.3,371.9,576.1,385.6"
3,3,text,0,"481.3,401.2,576.1,414.8"
4,4,text,0,"482.0,430.4,576.1,444.1"
5,5,text,0,"483.1,489.0,576.1,502.7"
6,6,text,0,"482.0,503.6,576.1,517.3"
7,7,text,0,"481.3,562.2,576.1,575.9"
8,8,text,0,"482.0,591.6,576.1,605.3"
check_box1,Check Box1,checkbox,1,"36.8,164.2,49.6,177.0"
text2,Text2,text,1,"145.2,240.5,295.2,262.5"
text4,Text4,text,1,"323.7,240.5,574.1,262.5"
text3,Text3,text,1,"241.2,293.6,569.4,315.6"
