field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
citation_no,citation no,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
insertadditionalnumbers_here_1,insertadditionalnumbers here 1,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
insertadditionalnumbers_here_2,insertadditionalnumbers here 2,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
insertadditionalnumbers_here_3,insertadditionalnumbers here 3,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
additional_names,additional names,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
additional_names1,additional names1,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
additional_names2,additional names2,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
full_name,full name,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
trial_date,trial date,W009,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
number_of_days,number of days,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
how_longofa_continuance_are_you_askingfornumber_ofdays,How longofa continuance are you askingfornumber ofdays,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
how_longofa_continuance_are_you_askingfornumber_ofdays_dup1,How longofa continuance are you askingfornumber ofdays,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
ifyou_answeredyes_on_the_previous_question_use_the_attachedconfidentialaffidavitpage_2to,Ifyou answeredyes on the previous question use the attachedconfidentialaffidavitpage 2to,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
ifyou_answeredyes_on_the_previous_question_use_the_attachedconfidentialaffidavitpage_2to_dup1,Ifyou answeredyes on the previous question use the attachedconfidentialaffidavitpage 2to,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reason_for_request,reason for request,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
reason_for_request1,reason for request1,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_understand_thatthisrequestwillbepresentedtothecourt_for,I UNDERSTAND THATTHISREQUESTWILLBEPRESENTEDTOTHECOURT FOR,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_certify_thatallnamed_parties_have_been_notifiedof_this_filing,I CERTIFY THATALLNAMED PARTIES HAVE BEEN NOTIFIEDOF THIS FILING,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date,Date,W019,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
printedname,PrintedName,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
agencydepartment,AgencyDepartment,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
mailingaddress,MailingAddress,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
phone_number,Phone Number,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_motion_to_continue_is_denied,The Motion to Continue is DENIED,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_mot,The Mot,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_2,Date_2,W026,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
citation_no,Citation No,W027,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
v,v,W028,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
name,name,W029,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_1,reasons are as follows 1,W030,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_2,reasons are as follows 2,W031,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_3,reasons are as follows 3,W032,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_4,reasons are as follows 4,W033,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_5,reasons are as follows 5,W034,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_6,reasons are as follows 6,W035,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_7,reasons are as follows 7,W036,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_8,reasons are as follows 8,W037,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_9,reasons are as follows 9,W038,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
reasons_are_as_follows_10,reasons are as follows 10,W039,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
date,date,W040,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
printed_name,printed name,W041,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
