field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
clear,Clear,W001,checkbox,boolean,narrative_derived,choice,0,5,green,,Y,,llm_over_narrative,
print,Print,W002,checkbox,boolean,narrative_derived,choice,0,5,green,,Y,,llm_over_narrative,
1099me_name,1099ME Name,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_address,1099ME Address,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_city_state_and_zip_code,"1099ME City, State and Zip Code",W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_member_id_number,1099ME Member ID Number,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_entity_payer_name,1099ME Entity/Payer Name,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_entity_payer_address,1099ME Entity/Payer Address,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_entity_payer_city_state_and_zip_code,"1099ME Entity/Payer City, State and Zip Code",W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
choice_1,Choice 1,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
choice_1_dup1,Choice 1,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
choice_1_dup2,Choice 1,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_entity_federal_identification_number,1099ME Entity Federal Identification Number,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_contact_information_name,1099ME Contact Information: Name,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_phone_number,1099ME Phone Number,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_corrected,1099ME Corrected,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_maine_income_tax_withheld_directly_by_the_entity_listed_in_box_c,1099ME Maine income tax withheld directly by the entity listed in box c,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_maine_income_tax_withheld_by_lower_tier_entities,1099ME Maine income tax withheld by lower tier entities,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_real_estate_withholding_payments,1099ME Real estate withholding payments,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_a,1099ME a),W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_a_ein,1099ME a) EIN,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_b,1099ME b),W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_b_ein,1099ME b) EIN,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_c,1099ME c),W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_c_ein,1099ME c) EIN,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_d,1099ME d),W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1099me_d_ein,1099ME d) EIN,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
