field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
location,LOCATION,W001,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no_2,Docket No_2,W002,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
in_re,IN RE,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i,I,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
parent_of_the_minor,Parent of the minor,W005,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
guardian,Guardian,W006,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
custodian,Custodian,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardian_ad_litem_or,Guardian ad litem or,W008,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
minor_if_minor_is_14_years_of_age_or_older,Minor if minor is 14 years of age or older,W009,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
i_hereby_acknowledge_that_i_received_proper_notice_of_this_proceeding_and_proper_opportunity_to,I hereby acknowledge that I received proper notice of this proceeding and proper opportunity to,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_hereby_waive_my_right_to_contest_the_proposed_name_change_and_agree_to_the_change_of,I HEREBY waive my right to contest the proposed name change and agree to the change of,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date,Date,W012,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
text4,Text4,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,COUNTY,W014,text,text,case_constant,county,0,0,green,Y,,,case_dict,
personally_appeared_the_above_named,Personally appeared the above named,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_2,Date_2,W016,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
attorney_at_law_notary_public_register_clerk,Attorney at Law  Notary Public  Register  Clerk,W017,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
