field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
documentdate,DocumentDate,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
documentactioncode,DocumentActionCode,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
documentactioncode_dup1,DocumentActionCode,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
documentactioncode_dup2,DocumentActionCode,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
documentactioncode_dup3,DocumentActionCode,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
sendingagency,SendingAgency,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
sendingagency_dup1,SendingAgency,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
sendingagency_dup2,SendingAgency,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
sendingagency_dup3,SendingAgency,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
issuingstate_tribe_territoryname,IssuingState-Tribe-TerritoryName,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
issuingjurisdictionname,IssuingJurisdictionName,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
privateindividualentityname,PrivateIndividualEntityName,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
remittanceidentifier,RemittanceIdentifier,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
orderidentifiera,OrderIdentifierA,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
caseidentifiera,CaseIdentifierA,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employernamea,EmployerNameA,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employeraddressline1text,EmployerAddressLine1Text,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employeraddressline2text,EmployerAddressLine2Text,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employeraddressline3text,EmployerAddressLine3Text,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
eintexta,EINTextA,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employeenamea,EmployeeNameA,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employeessna,EmployeeSSNA,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employeedob,EmployeeDOB,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
obligeename,ObligeeName,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
child1name,Child1Name,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
child1birthdate,Child1BirthDate,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
child2name,Child2Name,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
child2birthdate,Child2BirthDate,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
child3name,Child3Name,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
child3birthdate,Child3BirthDate,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
