field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
filing_fee_4000_or,FILING FEE 4000 or,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
fm002_family_and_probate_matter_summary_sheet,FM002 Family and Probate Matter Summary Sheet,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pb004_social_security_number_confidential_disclosure_form,PB004 Social Security Number Confidential Disclosure Form,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pb003_jurisdictional_affidavit,PB003 Jurisdictional Affidavit,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
nc001_petition_for_adoption_and_change_of_name,NC001 Petition for Adoption and Change of Name,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
cv067191_application_to_proceed_without_payment_of_fees_and_financial_affidavit,CV067191 Application to Proceed Without Payment of Fees and Financial Affidavit,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pb008_summons_adoption_guardianship_and_name_change_with_proof_of_service_acknowledgement_green,PB008 Summons Adoption Guardianship and Name Change with Proof of Service acknowledgement green,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
certified_copy_of_birth_certificate_of_minor,Certified copy of birth certificate of minor,W008,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
copy_of_divorce_judgment_and_any_modifications_if_any,Copy of divorce judgment and any modifications if any,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
court_order_pertaining_to_custody_of_the_minor_and_any_modifications_if_any,Court order pertaining to custody of the minor and any modifications if any,W010,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
death_certificate_of_deceased_custodian_if_any,Death certificate of deceased custodian if any,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
vs14_legal_name_change_lnc_request_to_amend_a_vital_record_with_parts_1_2_and_3_completed_parts_4_and_5,VS14 Legal Name Change LNC Request to Amend a Vital Record with parts 1 2 and 3 completed parts 4 and 5,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
parent_of_the_minor,Parent of the minor,W013,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
guardian_of_the_minor,Guardian of the minor,W014,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
custodian_of_the_minor,Custodian of the minor,W015,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
guardian_ad_litem_for_the_minor_andor,Guardian ad litem for the minor andor,W016,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
the_minor_if_the_minor_is_14_years_of_age_or_older,The minor if the minor is 14 years of age or older,W017,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
nc003_waiver_and_agreement_to_change_of_name_minor_may_be_filed_by_the_other_party_or_parties_to_indicate,NC003 Waiver and Agreement to Change of Name Minor may be filed by the other party or parties to indicate,W018,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
