field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
judgment_creditor,Judgment Creditor,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
court_location_town,Court Location Town,W003,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W004,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
judgment_debtor,Judgment Debtor,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_mmddyyyy,On mmddyyyy,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
amount_of,amount of,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
tax_returnsw2s_for_the_past,Tax ReturnsW2s for the past,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
proof_of_income_andor_earnings,Proof of Income andor Earnings,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
proof_of_benefits_social_security_social_security_disability_insurance_unemployment_etc,Proof of Benefits Social Security Social Security Disability Insurance Unemployment etc,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
bank_account_and_credit_card_statements,Bank Account and Credit Card Statements,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other,Other,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
evidence_of_personal_property,Evidence of Personal Property,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box1,Check Box1,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text2,Text2,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text4,Text4,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
